FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
BLINJTY,1,1,Bladder Hematoma/Contusion,1,28,28,28,0,,0,,0,N,N,N,,,,,
BLINJTY,2,2,Partial Thickness Laceration,1,28,28,28,0,,0,,0,N,N,N,,,,,
BLINJTY,3,3,Extraperitoneal Laceration,1,28,28,28,0,,0,,0,N,N,N,,,,,
BLINJTY,4,4,Intraperitoneal Laceration,1,28,28,28,0,,0,,0,N,N,N,,,,,
BLLCLOC,1,1,Anterior,1,26,26,26,0,,0,,0,N,N,N,,,,,
BLLCLOC,2,2,Posterior,1,26,26,26,0,,0,,0,N,N,N,,,,,
BLLCLOC,3,3,Lateral,1,26,26,26,0,,0,,0,N,N,N,,,,,
BLLCLOC,4,4,Bladder Neck,1,26,26,26,0,,0,,0,N,N,N,,,,,
BLLCLOC,5,5,Ureteral Orifice (Trigone),1,26,26,26,0,,0,,0,N,N,N,,,,,
BLLCLOC,92,92,Unknown,1,26,26,26,0,,0,,0,N,N,N,,,,,
COINGRD,1,1,Grade I: Hematoma- contusion or hematoma without devascularization,1,74,74,74,0,,0,,0,N,N,N,,,,,
COINGRD,2,2,"Grade I: Laceration- partial thickness, no laceration",1,74,74,74,0,,0,,0,N,N,N,,,,,
COINGRD,3,3,Grade II: Laceration- disruption < 50% of circumference,1,74,74,74,0,,0,,0,N,N,N,,,,,
COINGRD,4,4,Grade III: Laceration- disruption >= 50% circumference without transaction,1,74,74,74,0,,0,,0,N,N,N,,,,,
COINGRD,5,5,Grade IV: Laceration- transection of the colon,1,74,74,74,0,,0,,0,N,N,N,,,,,
COINGRD,6,6,Grade V: Laceration- transaction of the colon with segmental tissue loss,1,74,74,74,0,,0,,0,N,N,N,,,,,
COINGRD,7,7,Grade V: Vascular- devascularized segment,1,74,74,74,0,,0,,0,N,N,N,,,,,
COINGRD,93,93,Unable to grade injury (try to grade the injury and avoid this respone),1,74,74,74,0,,0,,0,N,N,N,,,,,
COLONLOC,1,1,Ascending colon,1,22,22,22,0,,0,,0,N,N,N,,,,,
COLONLOC,2,2,Transverse colon,1,22,22,22,0,,0,,0,N,N,N,,,,,
COLONLOC,3,3,Descending colon,1,22,22,22,0,,0,,0,N,N,N,,,,,
COLONLOC,4,4,Sigmoid colon,1,22,22,22,0,,0,,0,N,N,N,,,,,
COLONLOC,5,5,Rectum,1,22,22,22,0,,0,,0,N,N,N,,,,,
COLONLOC,97,97,Location not specified,1,22,22,22,0,,0,,0,N,N,N,,,,,
CTGRADE,1,1,AAST Grade 1 or 2,1,56,56,56,0,,0,,0,N,N,N,,,,,
CTGRADE,2,2,"AAST Grade 3, 4, or 5",1,56,56,56,0,,0,,0,N,N,N,,,,,
CTGRADE,3,3,Only  CT finding is fluid around the pancreas,1,56,56,56,0,,0,,0,N,N,N,,,,,
CTGRADE,93,93,Unable to determine pancreatic injury grade by CT report,1,56,56,56,0,,0,,0,N,N,N,,,,,
CTPCST,1,1,Duct transected,1,31,31,31,0,,0,,0,N,N,N,,,,,
CTPCST,2,2,Duct not transected,1,31,31,31,0,,0,,0,N,N,N,,,,,
CTPCST,3,3,Duct status indeterminate on CT,1,31,31,31,0,,0,,0,N,N,N,,,,,
CTPCST,97,97,No mention of duct status on CT,1,31,31,31,0,,0,,0,N,N,N,,,,,
DUOGRD,1,1,Grade I: Hematoma- involving single portion of the duodenum,1,96,96,96,0,,0,,0,N,N,N,,,,,
DUOGRD,2,2,"Grade I: Laceration- partial thickness, no laceration",1,96,96,96,0,,0,,0,N,N,N,,,,,
DUOGRD,3,3,Grade II: Hematoma- involving more than one portion,1,96,96,96,0,,0,,0,N,N,N,,,,,
DUOGRD,4,4,Grade II: Laceration- disruption < 50% of circumference,1,96,96,96,0,,0,,0,N,N,N,,,,,
DUOGRD,5,5,Grade III: Laceration- disruption 50-75% circumference of 2nd portion,1,96,96,96,0,,0,,0,N,N,N,,,,,
DUOGRD,6,6,"Grade III: Laceration- disruption 50-100% circumference of 1st, 3rd, 4th portion of the duodenum",1,96,96,96,0,,0,,0,N,N,N,,,,,
DUOGRD,7,7,Grade IV: Laceration- disruption of > 75% circumference of 2nd portion,1,96,96,96,0,,0,,0,N,N,N,,,,,
DUOGRD,8,8,Grade IV: Involving ampulla or distal common bile duct,1,96,96,96,0,,0,,0,N,N,N,,,,,
DUOGRD,9,9,Grade V: Laceration: massive disruption of duodenalpancreatic complex,1,96,96,96,0,,0,,0,N,N,N,,,,,
DUOGRD,10,10,Grade V: Vascular- devascularization of duodenum,1,96,96,96,0,,0,,0,N,N,N,,,,,
DUOGRD,93,93,Unable to grade injury (Try to grade the injury and avoid this response),1,96,96,96,0,,0,,0,N,N,N,,,,,
DV1314G,1,1,ED,1,40,11,10,1E-12,,0,,0,N,N,N,,,,,
DV1314G,2,2,Inpatient,1,40,11,10,1E-12,,0,,0,N,N,N,,,,,
DV1314G,3,3,Outpatient,1,40,11,10,1E-12,,0,,0,N,N,N,,,,,
DV1314G,4,4,Unknown,1,40,11,10,1E-12,,0,,0,N,N,N,,,,,
DV1377G,1,1,Yes,1,40,26,25,1E-12,,0,,0,N,N,N,,,,,
DV1377G,2,2,No,1,40,26,25,1E-12,,0,,0,N,N,N,,,,,
DV1377G,3,3,Rectal exam not performed,1,40,26,25,1E-12,,0,,0,N,N,N,,,,,
DV1377G,4,4,Physician did not answer,1,40,26,25,1E-12,,0,,0,N,N,N,,,,,
DV1420G,1,1,Morrison's pouch (right upper quadrant),1,40,39,39,1E-12,,0,,0,N,N,N,,,,,
DV1420G,2,2,Left upper quadrant,1,40,39,39,1E-12,,0,,0,N,N,N,,,,,
DV1420G,3,3,Right paracolic gutter,1,40,39,39,1E-12,,0,,0,N,N,N,,,,,
DV1420G,4,4,Left paracolic gutter,1,40,39,39,1E-12,,0,,0,N,N,N,,,,,
DV1420G,5,5,Suprapubic region,1,40,39,39,1E-12,,0,,0,N,N,N,,,,,
DV1420G,6,6,No free fluid,1,40,39,39,1E-12,,0,,0,N,N,N,,,,,
DV1420G,7,7,Possible,1,40,39,39,1E-12,,0,,0,N,N,N,,,,,
DV1420G,8,8,Probable,1,40,39,39,1E-12,,0,,0,N,N,N,,,,,
DV1420G,9,9,Unclear,1,40,39,39,1E-12,,0,,0,N,N,N,,,,,
DV1452G,1,1,Yes,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1452G,2,2,No,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1452G,3,3,Did not listen,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1452G,4,4,Physician did not answer,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1577G,0,0,None,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1577G,1,1,Diffuse,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1577G,2,2,Localized,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1577G,3,3,Unknown,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1577G,4,4,Physician did not answer,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV170G,1,1,Duodenum,1,40,12,11,1E-12,,0,,0,N,N,N,,,,,
DV170G,2,2,Jejunum,1,40,12,11,1E-12,,0,,0,N,N,N,,,,,
DV170G,3,3,Ileum,1,40,12,11,1E-12,,0,,0,N,N,N,,,,,
DV170G,9,9,Unspecified,1,40,12,11,1E-12,,0,,0,N,N,N,,,,,
DV171G,1,1,Cecum,1,40,17,16,1E-12,,0,,0,N,N,N,,,,,
DV171G,2,2,Ascending colon,1,40,17,16,1E-12,,0,,0,N,N,N,,,,,
DV171G,3,3,Transverse colon,1,40,17,16,1E-12,,0,,0,N,N,N,,,,,
DV171G,4,4,Descending colon,1,40,17,16,1E-12,,0,,0,N,N,N,,,,,
DV171G,5,5,Rectum,1,40,17,16,1E-12,,0,,0,N,N,N,,,,,
DV171G,9,9,Unspecified,1,40,17,16,1E-12,,0,,0,N,N,N,,,,,
DV178G,1,1,Spleen,1,40,23,22,1E-12,,0,,0,N,N,N,,,,,
DV178G,2,2,Liver,1,40,23,22,1E-12,,0,,0,N,N,N,,,,,
DV178G,3,3,Kidney,1,40,23,22,1E-12,,0,,0,N,N,N,,,,,
DV178G,4,4,Gastrointestinal tract,1,40,23,22,1E-12,,0,,0,N,N,N,,,,,
DV178G,5,5,Other,1,40,23,22,1E-12,,0,,0,N,N,N,,,,,
DV1925G,1,1,Yes,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1925G,2,2,No,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1925G,3,3,Unsure,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1925G,4,4,Physician did not answer,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1975G,1,1,<1%,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1975G,2,2,1-5%,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1975G,3,3,6-10%,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1975G,4,4,11-50%,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1975G,5,5,>50%,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV1975G,6,6,Physician did not answer,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV197G,0,0,No Intevention,1,40,15,14,1E-12,,0,,0,N,N,N,,,,,
DV197G,1,1,Resection,1,40,15,14,1E-12,,0,,0,N,N,N,,,,,
DV197G,2,2,Drainage,1,40,15,14,1E-12,,0,,0,N,N,N,,,,,
DV197G,3,3,Other,1,40,15,14,1E-12,,0,,0,N,N,N,,,,,
DV204G,1,1,Intra-abdominal injury,1,40,28,27,1E-12,,0,,0,N,N,N,,,,,
DV204G,2,2,Mulitple blunt force trauma,1,40,28,27,1E-12,,0,,0,N,N,N,,,,,
DV204G,3,3,Traumatic brain injury,1,40,28,27,1E-12,,0,,0,N,N,N,,,,,
DV204G,4,4,Thoracic injury,1,40,28,27,1E-12,,0,,0,N,N,N,,,,,
DV204G,5,5,Other,1,40,28,27,1E-12,,0,,0,N,N,N,,,,,
DV2078G,0,0,No Intevention,1,40,24,23,1E-12,,0,,0,N,N,N,,,,,
DV2078G,1,1,Repair of fascia/hernia,1,40,24,23,1E-12,,0,,0,N,N,N,,,,,
DV2078G,2,2,Other,1,40,24,23,1E-12,,0,,0,N,N,N,,,,,
DV2140G,1,1,Pulmonary Contusion,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,2,2,Pneumothorax,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,3,3,Hemothorax,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,4,4,Rib Fracture,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,5,5,Diaphragm,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,6,6,Sternal Fracture,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,7,7,Aortic Injury,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,8,8,Tracheal Bronchial Disruption,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,9,9,Cardiac Contusion,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,10,10,Pneumomediastinum,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,11,11,Pneumopericardium,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,12,12,Hemopericardium,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2140G,13,13,Other Thoracic Injury,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV2179G,1,1,Yes,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2179G,2,2,No,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2179G,3,3,Unknown,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2179G,4,4,Physician did not answer,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2200G,1,1,erythema,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2200G,2,2,abrasion,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2200G,3,3,ecchymoses,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2200G,4,4,laceration,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2200G,5,5,other,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2200G,6,6,Physician did not answer,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2480G,1,1,Yes,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2480G,2,2,No,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2480G,3,3,Physician did not answer,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2767G,0,0,None,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2767G,1,1,Mild (barely noticeable),1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2767G,2,2,Moderate,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2767G,3,3,Severe (intense),1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2767G,4,4,Unknown,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2767G,5,5,Physician did not answer,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV2925G,0,0,No Intervention,1,40,27,26,1E-12,,0,,0,N,N,N,,,,,
DV2925G,1,1,Splenectomy,1,40,27,26,1E-12,,0,,0,N,N,N,,,,,
DV2925G,2,2,Sutured splenoraphy,1,40,27,26,1E-12,,0,,0,N,N,N,,,,,
DV2925G,3,3,Use of hemostatic agent(s),1,40,27,26,1E-12,,0,,0,N,N,N,,,,,
DV2925G,4,4,Other,1,40,27,26,1E-12,,0,,0,N,N,N,,,,,
DV292G,1,1,FAST,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV292G,2,2,Full abdominal scan,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV292G,3,3,Unknown,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV3345G,1,1,Normal,1,40,40,39,1E-12,,0,,0,N,N,N,,,,,
DV3345G,2,2,Abnormal,1,40,40,39,1E-12,,0,,0,N,N,N,,,,,
DV3345G,3,3,No interpretation from any known source,1,40,40,39,1E-12,,0,,0,N,N,N,,,,,
DV35G,1,1,I,1,40,4,3,1E-12,,0,,0,N,N,N,,,,,
DV35G,2,2,II,1,40,4,3,1E-12,,0,,0,N,N,N,,,,,
DV35G,3,3,III,1,40,4,3,1E-12,,0,,0,N,N,N,,,,,
DV35G,4,4,IV,1,40,4,3,1E-12,,0,,0,N,N,N,,,,,
DV35G,5,5,V,1,40,4,3,1E-12,,0,,0,N,N,N,,,,,
DV35G,6,6,VI,1,40,4,3,1E-12,,0,,0,N,N,N,,,,,
DV3645G,1,1,Abdominal angiography,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV3645G,2,2,Pelvic angiography,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV3645G,3,3,Upper gastrointestinal series,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV3645G,4,4,Abdominal MRI,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV3645G,5,5,Cystogram,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV3685G,1,1,No traumatic findings,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV3685G,2,2,Traumatic findings identified,1,40,30,29,1E-12,,0,,0,N,N,N,,,,,
DV400G,1,1,Yes,1,40,15,14,1E-12,,0,,0,N,N,N,,,,,
DV400G,2,2,Intubated/BVM,1,40,15,14,1E-12,,0,,0,N,N,N,,,,,
DV400G,3,3,Unknown,1,40,15,14,1E-12,,0,,0,N,N,N,,,,,
DV400G,4,4,Not documented,1,40,15,14,1E-12,,0,,0,N,N,N,,,,,
DV403G,1,1,American Indian or Alaska Native,1,42,42,41,1E-12,,0,,0,N,N,N,,,,,
DV403G,2,2,Asian,1,42,42,41,1E-12,,0,,0,N,N,N,,,,,
DV403G,3,3,Black or African American,1,42,42,41,1E-12,,0,,0,N,N,N,,,,,
DV403G,4,4,Native Hawaiian or Other Pacific Islander,1,42,42,41,1E-12,,0,,0,N,N,N,,,,,
DV403G,5,5,White,1,42,42,41,1E-12,,0,,0,N,N,N,,,,,
DV403G,6,6,Stated as Unknown,1,42,42,41,1E-12,,0,,0,N,N,N,,,,,
DV403G,7,7,Other,1,42,42,41,1E-12,,0,,0,N,N,N,,,,,
DV414G,1,1,anterior superior iliac crests,1,40,31,30,1E-12,,0,,0,N,N,N,,,,,
DV414G,2,2,superior pubis,1,40,31,30,1E-12,,0,,0,N,N,N,,,,,
DV414G,3,3,inferior pubis,1,40,31,30,1E-12,,0,,0,N,N,N,,,,,
DV414G,4,4,SI joints,1,40,31,30,1E-12,,0,,0,N,N,N,,,,,
DV414G,5,5,unknown,1,40,31,30,1E-12,,0,,0,N,N,N,,,,,
DV414G,6,6,Physician did not answer,1,40,31,30,1E-12,,0,,0,N,N,N,,,,,
DV4528G,1,1,Surgical repair,1,40,16,15,1E-12,,0,,0,N,N,N,,,,,
DV4528G,2,2,Aortic stenting,1,40,16,15,1E-12,,0,,0,N,N,N,,,,,
DV4528G,3,3,Other,1,40,16,15,1E-12,,0,,0,N,N,N,,,,,
DV4686G,0,0,None,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV4686G,1,1,Mild,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV4686G,2,2,Moderate,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV4686G,3,3,Severe,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV4686G,4,4,Physician did not answer,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV4705G,1,1,Yes,1,40,11,10,1E-12,,0,,0,N,N,N,,,,,
DV4705G,2,2,Probably,1,40,11,10,1E-12,,0,,0,N,N,N,,,,,
DV4705G,3,3,Can't tell,1,40,11,10,1E-12,,0,,0,N,N,N,,,,,
DV4705G,4,4,No,1,40,11,10,1E-12,,0,,0,N,N,N,,,,,
DV5089G,1,1,Pneumothorax,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV5089G,2,2,Hemothorax,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV5089G,3,3,Rib fracture,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV5089G,4,4,Pulmonary contusion,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV5089G,5,5,Pneumomediastinum,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV5089G,6,6,Pneumopericardium,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV5089G,7,7,Diaphragm injury,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV5089G,8,8,Other,1,40,20,19,1E-12,,0,,0,N,N,N,,,,,
DV521G,0,0,No Intervention,1,40,16,15,1E-12,,0,,0,N,N,N,,,,,
DV521G,1,1,Resection,1,40,16,15,1E-12,,0,,0,N,N,N,,,,,
DV521G,2,2,Other,1,40,16,15,1E-12,,0,,0,N,N,N,,,,,
DV528G,0,0,No Intervention,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV528G,1,1,Repair of bladder injury,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV528G,2,2,Other,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV5325G,0,0,None,1,40,24,24,1E-12,,0,,0,N,N,N,,,,,
DV5325G,1,1,Anterior chest,1,40,24,24,1E-12,,0,,0,N,N,N,,,,,
DV5325G,2,2,Posterior chest,1,40,24,24,1E-12,,0,,0,N,N,N,,,,,
DV5325G,3,3,Both,1,40,24,24,1E-12,,0,,0,N,N,N,,,,,
DV5325G,4,4,Physician did not answer,1,40,24,24,1E-12,,0,,0,N,N,N,,,,,
DV5417G,1,1,Young age,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,2,2,Severe mechanism of injury,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,3,3,Lower rib injury,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,4,4,Hemodynamic instability,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,5,5,Decreased mental status,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,6,6,Flank tenderness,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,7,7,Femur fracture,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,8,8,Abnormal abdominal examination,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,9,9,Trauma surgery request,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,10,10,Abdominal clearance prior to non-abdominal surgery,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,11,11,Low hematocrit,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,12,12,Declining/drop in serial hematocrit measurements,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,13,13,Elevated AST or ALT,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,14,14,Elevated amylase/lipase,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,15,15,Microscopic hematuria,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,16,16,Gross hematuria,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,17,17,Other abnormal lab value,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,18,18,Other,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5417G,19,19,Physician did not answer,1,51,51,50,1E-12,,0,,0,N,N,N,,,,,
DV5427G,1,1,Emergency Medicine Faculty,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5427G,2,2,Pediatric Faculty,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5427G,3,3,Pediatric Emergency Medicine Faculty,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5427G,4,4,General/Trauma Surgery Faculty,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5427G,5,5,Pediatric Surgery Faculty,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5427G,6,6,Internal Medicine Faculty,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5427G,7,7,Family Practice Faculty,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5427G,8,8,Pediatric Emergency Medicine Fellow,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5427G,9,9,Pediatric Surgery Fellow,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5427G,10,10,Trauma Surgery Fellow,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5427G,11,11,Other,1,40,37,36,1E-12,,0,,0,N,N,N,,,,,
DV5529G,1,1,Increased,1,40,18,17,1E-12,,0,,0,N,N,N,,,,,
DV5529G,2,2,Remained the same,1,40,18,17,1E-12,,0,,0,N,N,N,,,,,
DV5529G,3,3,Decreased,1,40,18,17,1E-12,,0,,0,N,N,N,,,,,
DV5529G,4,4,Unclear,1,40,18,17,1E-12,,0,,0,N,N,N,,,,,
DV5529G,5,5,Not Applicable,1,40,18,17,1E-12,,0,,0,N,N,N,,,,,
DV558G,1,1,Actual weight,1,40,19,18,1E-12,,0,,0,N,N,N,,,,,
DV558G,2,2,Parent estimate,1,40,19,18,1E-12,,0,,0,N,N,N,,,,,
DV558G,3,3,Broselow weight,1,40,19,18,1E-12,,0,,0,N,N,N,,,,,
DV558G,4,4,Clinician estimate,1,40,19,18,1E-12,,0,,0,N,N,N,,,,,
DV583G,1,1,Spleen,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV583G,2,2,Liver,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV583G,3,3,Kidney,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV583G,4,4,GI (mesentery),1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV583G,5,5,Other vascular structure,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV583G,6,6,Dictation unclear,1,40,25,24,1E-12,,0,,0,N,N,N,,,,,
DV5985G,1,1,Improved,1,40,18,17,1E-12,,0,,0,N,N,N,,,,,
